Name, RA, Dec, N_exp, SNR
HIP80083,245.16555,-17.65024,6,65.5203021971
V399_Hya,126.73041,-6.20245,1,119.5
LP_Vir,199.3622,-10.54659,1,142.4
CD-25_2913,91.33367,-25.09376,1,53.1
V349_Vel,157.3433,-50.57141,1,53.7
HD71155,126.4115,-3.90701,22,1593.54320933
BD-195953,313.46479,-18.7901,66,129.166752688
HD115902,200.09195,-9.06028,7,120.740589695
V398_Vel,155.03832,-56.61595,1,113.4
HD151692,252.46795,-24.44683,8,96.2874862067
HD116410,200.91957,-15.11725,11,167.485163522
HIP65674,201.98146,-28.28801,18,107.153068085
HD-201852,318.33118,-36.42182,4,216.119180084
WW_Sex,147.6641,-5.51303,1,80.5
HD210507,333.06977,-54.97873,10,117.359277435
HD-80499,139.93837,-11.97588,2,217.29364924
HIP116110,352.89849,-62.923,3,70.7158398098
1022_14.2,17.33427,-15.13993,2,4.24499705536
HD197300,310.90071,-24.69204,5,91.5643489574
HD134702,228.12813,-35.91787,9,153.739747626
HD45652,97.30378,10.93285,1,138.3
HD-65695,119.929655,-3.68065,3,256.338428645
AP_Dor,76.68691,-59.05119,1,107.3
HD-179443,288.66841,-45.19526,5,252.543065634
EY_Cet,25.24487,-5.40308,1,139.2
HD_80886,139.06252,-76.27614,1,101.7
HD218294,346.7879,-23.1605,3,61.1690281106
HD201422,317.53076,-24.82222,2,63.6581495176
Test,49.6687,-66.49252,1,0.3
HD-6559,16.534373,-23.99119,6,243.66741678
HD-74006,130.028629,-35.30939,3,499.614071059
HD224287,359.14875,-50.30441,3,73.531557851
HE0442-1234,71.21973,-12.48044,2,19.2379832623
HD-3488,9.32647,-54.39433,8,279.393038568
HD96276,166.46129,-20.40916,2,82.7392289062
HD_249474,89.13044,11.03873,2,147.972429864
HD-770,2.98395,-42.17196,10,270.524656917
HD_39736,88.21447,-35.61495,1,149.7
HD139710,235.09258,-20.97115,7,93.0662129884
HD191849,303.47556,-45.16351,33,245.570784093
No-Name,144.18278,7.07882,1,5.3
HD-193721,308.34158,-80.96021,4,148.147831574
CW_Tuc,12.17808,-61.7289,1,46.6
CR_Hyi,53.39973,-69.01541,1,89.8
HD-6192,15.50909,-57.0016,4,182.530709745
CD-45_2093,84.63609,-45.79758,1,56.6
HD_52483,105.17854,-18.30142,1,103.8
V364_Pup,108.14446,-36.2214,1,74.3
BT_Psc,359.89684,-1.84889,1,136.0
NP_Hya,135.49367,2.66985,1,128.1
NR_Vel,126.95886,-50.10053,1,124.5
Nsgr_80,182.24952,-2.37996,1,2.0
HD16555,39.35176,-52.54467,2,372.540601814
GSC_09151-00434,40.20998,-73.43526,1,45.5
HD-29751,68.56277,-73.20562,6,154.522878565
sgr_465tng,197.30389,12.26294,1,0.5
CH_Scl,14.43348,-26.22148,1,78.8
BD-063950,213.3791,-6.96058,6,81.55022992
V851_Mon,88.50994,1.67126,2,110.425223568
UW_Sex,160.05269,-11.57098,1,62.1
HIP65362,200.93088,-14.04691,21,71.5497728857
CY_Hyi,46.57258,-68.20746,1,67.0
OT_Peg,329.91023,16.03188,1,63.1
V380_Vel,131.41366,-52.43404,84,418.206838777
V841_Ara,249.6285,-57.47031,1,79.0
NQ_Vel,125.83182,-44.96592,1,123.4
Nsgr_68,191.25194,-9.0295,1,0.7
V399_Vel,156.25507,-57.08656,4,453.775296816
V1164_Tau,85.13154,27.43963,1,106.5
HD163102,268.62765,-3.46307,4,263.061095565
HD-2114,6.355075,1.93927,9,390.893310252
HD-12270,29.46776,-65.42432,4,165.300393224
HD-17374,40.85937,-69.15846,9,245.079578913
CL_Phe,357.95205,-46.32041,11,142.739062628
HIP115344,350.45524,-36.90104,4,70.1338006955
HD200633,316.18539,-4.82905,37,553.404562684
OX_Vel,134.93283,-54.23786,1,122.5
HD219630,349.41056,-42.19102,7,82.085138728
HD147889,246.34996,-24.46621,20,621.027277984
HIP102495,311.58543,-23.08146,10,89.9611582851
HD5349,13.79926,-16.97223,4,129.209481076
OU_Aps,250.44031,-73.43259,1,98.5
IRAS_00044-0903,1.74861,-8.77623,3,159.851086953
BD-215811,311.01119,-21.35662,5,78.1104986542
V830_Ara,263.48476,-45.62942,1,145.3
Nsgr_57,212.84128,-6.17237,1,4.8
V988_Cen,209.39075,-31.65482,1,62.9
ER_Eri,32.53416,-54.51178,1,51.3
GG_CMa,108.44879,-31.0842,1,111.6
NR_Peg,317.45998,16.15169,1,124.9
HD_32475,74.98695,-58.49628,1,98.6
Nsgr_74,178.94878,-3.65375,1,2.6
V341_Sge,295.69437,17.96355,1,130.0
KX_Ori,83.77089,-4.73145,1,159.9
HD200083,315.46834,-22.58178,25,171.89296088
Esgr_3,149.19464,6.75667,1,6.2
HD20,1.31728,-27.27201,1,40.9
UV_Crv,184.34805,-21.0585,1,74.8
HD-67990,121.648812,-63.51625,6,189.355565009
LV_Hya,179.26395,-33.31554,1,161.8
HD-16975,40.52851,-38.38217,1,70.3
V1099_Tau,63.94622,15.39978,5,311.138088314
HD-13263,31.74194,-65.94549,7,206.773813623
BD-223528,198.0855,-23.3347,9,128.790721716
CC_Phe,22.0364,-52.63987,2,80.1039949066
HD194717,309.00106,-78.46463,5,115.616780789
Sun-sky,198.30802,-0.52972,1,75.2
HD160836,265.6077,-9.07547,26,155.896568275
sgr_527tng,204.2203,13.11727,1,0.0
IM_Vir,192.40931,-6.0807,1,59.1
NZ_Vel,129.99031,-53.05536,1,199.6
HD193406,305.55735,-49.73872,13,111.688002937
HD-46415,97.76977,-43.71727,6,220.092707739
V1450_Aql,289.4153,8.60842,1,79.1
HD-59894,112.57875,-40.9888,5,212.164393808
CX_Gru,339.4473,-39.85929,7,533.246584612
HD_274873,82.25662,-48.3636,1,66.4
V2300_Oph,270.02751,6.55241,1,118.3
HD-115226,199.49846,-72.94752,102,371.436266404
HD194490,307.0001,-51.66402,27,365.872067805
V369_Pav,291.11857,-71.81357,1,52.5
HD-157751,261.67277,-34.09218,3,288.434862664
GJ399,159.91928,-6.92275,8,55.9361242848
HD144550,241.89635,-31.55356,36,469.036928184
HD96494,166.09291,-78.86268,14,197.163865858
IRa01_E2_1126,102.08118,-3.10289,55,94.8567340783
HD190125,302.01124,-67.74595,26,353.120602627
BD-064756,276.20448,-6.35529,13,399.183053248
HD95136,164.63916,-39.92819,15,283.704829004
GJ3260,60.16535,-23.08167,6,34.4020348235
HD217395,345.20216,-39.89462,13,166.483002135
GJ126,47.81904,-46.51778,32,96.5542334649
GJ618.1,245.10632,-4.26774,24,105.228085605
HD107181,184.86631,-26.10675,16,300.887570365
GJ130,48.12973,-38.0873,8,109.580928998
LRc01_E2_0192,291.77862,1.38485,84,91.3597832747
HD109573,188.99915,-39.87397,10,702.483594114
HD186265,296.10052,-26.94726,17,230.464878018
NGC6705No1286,282.75092,-6.2118,272,321.25436962
GJ118,43.09711,-63.6781,20,75.80046174
V347_Hya,203.74224,-29.92345,2,96.5725116169
GJ3369,87.07092,-11.13194,9,85.9316007066
HD152233,253.5182,-41.79234,54,1362.97008771
M30,325.09227,-23.17244,1,2.7
HD219556,349.28737,-45.6773,9,207.078825571
GJ1097,112.19376,-3.29887,8,58.4874345479
GJ91,33.47709,-32.04095,26,166.77727663
SC10-1896,77.96766,-69.51343,6,3.77226722277
HR-3203,122.29124,-48.68556,12,371.842453198
MY_Del,311.00037,17.57219,1,91.6
NGC6494No46,269.26407,-18.98663,59,222.14040605
HD178787,287.76019,-25.81217,10,208.385796061
BO_Cap,323.84711,-23.11779,1,126.0
GJ3018A,3.97461,-67.99574,25,118.574702192
HD144899,242.5745,-47.91344,22,290.327745832
HD-92499,160.03788,-43.08183,146,456.710455322
GJ298,122.49111,-52.96653,7,41.4631161395
Gl699,269.45088,4.7139,237,523.076351979
HD032297,75.61719,7.46113,17,553.598816834
HD-115440,200.02489,-76.41844,3,209.705746226
GJ352A,142.83489,-13.48721,1,27.4
52-Aqr,336.32344,1.3764,18,920.137625576
Test600sec,255.14119,-29.99999,15,0.0
NGC2287No107,101.6411,-20.81451,9,139.025717045
HD-196470,309.54173,-17.49898,6,167.721644399
GJ27.1,10.00014,-44.25447,51,142.187446703
GJ3256,58.60888,-9.15589,29,94.648613302
Sun,60.14605,-6.92639,3,550.972331429
HIP103019,313.06918,-39.99686,29,157.581820017
GJ114.1A,42.52614,-53.15423,49,206.320430399
HD-193756,306.04967,-51.72229,16,268.492588352
rho-oph,246.39776,-23.44594,4,704.978545773
GJ1293,0.36064,-16.94955,7,81.5117169492
NGC2567No54,124.61142,-30.65644,63,190.067093417
GJ401A,161.40999,-19.11502,7,72.8323417171
GJ180,73.46163,-17.77368,80,220.828372271
V1690_Aql,290.66348,14.13188,1,4.0
BN_Cap,320.01331,-27.30421,2,156.914371553
HD-149277,248.95339,-45.67844,3,132.587216578
GJ3110,25.7394,-42.20308,11,70.7534451458
TYC_7798-500-1,209.18099,-42.40546,1,54.2
solar_spectrum,322.39371,-8.64182,2,532.443809242
Test150sec,165.14119,-30.0,10,0.0
GJ361,145.29043,13.20538,105,354.99421122
GJ3530,136.27224,2.83468,24,76.9910384395
GJ70,25.8364,4.3197,9,77.3567708737
GJ2003,5.03905,-17.0617,41,105.986697278
HD13350,32.43508,-30.74467,33,411.837516504
HD15507,37.12146,-45.02335,9,221.941276017
HD154672,257.52084,-56.44942,24,449.829045305
V4412_Sgr,290.05701,-36.22596,1,103.1
HD186194,296.36833,-50.87331,25,383.962849765
V931_Cen,188.1938,-38.07722,1,102.5
HD144848,242.32289,-35.49938,14,259.039533662
GJ3307,70.17948,2.23054,20,93.8615469721
HD19773,47.68147,-6.52422,8,268.829983447
Sun,89.39605,-6.92639,10,846.781081508
HD206683,326.29919,-50.44749,33,564.542301338
MP_Vir,209.49437,-4.38603,1,102.5
HD185679,295.40274,-35.72468,10,228.620230951
Gl234,97.35066,-2.81483,20,96.6418646343
LT_Mus,201.05347,-67.31485,1,104.0
GJ3340,78.78597,-7.34676,10,62.9741216691
GJ1100,116.76353,-13.93806,33,115.264044697
V999_Her,279.6711,17.87999,1,46.4
GJ377,150.29308,-30.38766,11,55.1781659717
V4377_Sgr,270.13578,-33.91532,5,280.855033781
V391_Pav,320.43795,-64.40996,1,73.4
HD152079,253.37574,-46.33181,57,463.583778836
V358_Pav,279.05172,-65.53163,1,67.8
Test900sec,225.14118,-30.0,6,0.0
GJ3202,46.88679,-3.97263,12,90.5164073525
HD168442,274.96207,-1.93828,5,55.0877481841
SC10-44,16.55391,-72.10528,15,15.0392818978
HD202389,319.25188,-46.06226,11,109.471457467
GJ2049,95.47517,-22.7197,56,188.969971159
Sun,120.14601,-6.92639,1,484.2
DF_Cet,26.88063,-7.87727,2,114.061386981
HD45133,95.81309,-46.8238,9,266.761166589
HD-130259,221.942959,-26.09172,20,248.145098682
Test300sec,195.14119,-30.0,10,0.0
GJ3218,50.44822,-6.67202,45,135.65703078
GJ155.1,56.99462,2.78574,14,86.4378389364
TWA5,172.97967,-34.60657,19,64.0134360896
HD-167096,273.975725,-44.20558,2,190.94653702
HD-165474,271.42921,11.99983,11,192.848878659
HD199960,315.14476,-4.73076,103,1485.2339782
LRc01_E1_0523,292.05898,0.12149,26,77.2247369694
HD165204,271.44707,-23.51569,12,205.545980257
HD143361,240.46344,-44.43762,61,445.062422588
psi-Phe,28.41357,-46.30469,5,506.817856828
GJ3528,135.58207,8.46475,13,55.1955614158
GJ3501A,127.83909,-6.03233,46,190.701625583
V989_Cen,209.71972,-47.8076,1,113.5
MT-Tel,285.55393,-46.65392,31,253.719825792
HD015115,36.57103,6.29274,8,684.110539314
FH_Mus,189.98106,-66.51067,1,190.7
HD101348,174.90194,-35.23208,16,362.608383797
V389_Pup,116.15512,-17.28919,1,157.4
GJ173,69.42529,-11.04031,16,131.432834558
HD-134305,227.19083,12.4872,11,251.697457278
SC7-35,79.93862,-69.74154,25,32.5929440217
HD56957,109.32202,-40.65948,12,505.293409813
HD-84937,147.23025,13.7382,5,426.095881229
HD-213637,338.30153,-20.03652,8,197.629931944
Conn_MRi_RRL_2,75.89849,-1.00089,186,1246.3191726
V907_Her,250.05957,7.62582,1,18.7
IRa01_E1_0330,102.19687,-0.67133,32,258.370141464
HD-175219,284.072826,-42.71038,2,242.5
HD-42556,84.976859,-85.91229,6,154.784721468
DD_Psc,27.88284,9.29865,2,86.6600830833
GJ3084,19.47504,5.47248,5,54.4978898674
SC4-03,12.09836,-72.80876,37,26.0493761921
HD209449,331.09617,-38.87775,15,255.113543349
S-Mon,100.24545,9.89668,15,591.973090605
V355_Pav,273.37099,-67.80772,1,65.7
DV_Cru,194.04777,-57.47132,3,242.315434919
Procyon,114.81852,5.22352,1,220.9
BY_Mic,313.52947,-27.925,1,141.0
V4388_Sgr,273.983,-31.75871,1,73.5
V1444_Aql,287.54106,2.3583,1,111.3
HD149782,249.80622,-47.31202,20,313.237146584
HD457,2.2481,-39.73625,58,537.408094468
HD8446,20.85786,-14.20661,17,469.216112255
GJ3328,76.51654,4.33952,8,54.224533193
HD-166473,273.10956,-37.75082,14,404.233175284
HD191122,305.29071,-81.61254,19,246.546020045
HD222910,356.22771,-47.34428,12,233.026393355
HD101197,174.66101,-11.23726,11,185.227913663
HD191760,303.36577,-46.20431,43,628.230140952
V-IND,317.87425,-45.074,10,74.9421109924
QR_Vir,205.89452,-17.8279,1,36.6
HD108953,187.898,-59.20807,13,213.411410192
HD193995,306.12843,-34.71518,11,249.763928541
HD38467,86.16599,-29.91781,9,320.096001225
HD190590,301.24443,23.20888,13,416.397802588
HD179406,288.16874,-7.94023,4,798.641509064
V864_Mon,108.78858,-4.73946,1,25.4
GJ16,4.57236,10.20214,8,76.4266314841
HR1010,180.00015,-29.33334,6,0.0
HD100336,173.04189,-65.41924,1,55.4
HD-189005,299.741358,-26.19513,4,387.663707355
HD215906,342.52186,-66.04984,65,827.393328472
V937_Cen,190.80683,-36.01118,1,86.1
HR9087,206.25022,-20.33333,3,0.0
HD-173819,281.87359,-5.70659,3,531.682141886
HD-150562,251.04995,-48.65358,11,200.436897801
V1645_Aql,291.20488,-8.48847,3,76.1386892454
HD128356,219.27143,-25.8016,30,458.576067845
BP_Phe,5.93156,-49.35862,2,107.440402084
HD106937,184.49136,-35.83565,16,310.131407632
DF_Oct,308.76921,-75.16481,1,24.9
GJ182,74.89374,1.78314,11,143.994479061
NGC3532No122,166.44504,-58.67984,71,804.956427392
OU_Ser,230.6831,16.26177,1,9.5
HD-173540,281.938671,-40.40609,2,259.195389619
HD61475,113.68798,-66.64202,7,205.34631723
HR-3398,128.8704,-7.98395,15,605.46053546
HD90028,155.71576,-28.01154,11,286.699668643
V1453_Aql,291.37219,-6.92672,1,80.2
HD102361,176.70614,-21.47365,8,182.621849733
HD155806,258.83319,-33.54949,3,687.111555717
HD78286,136.53982,-37.15449,43,548.553434043
V592_Car,143.44113,-66.01963,1,41.6
HD76849,134.58834,-14.37616,20,300.22826316
SC4-630,81.3522,-69.54942,6,4.74130783645
HD170706,278.11643,-37.08966,10,159.792897214
HD_46600,98.43581,-13.66357,1,39.7
V977_Cen,206.51373,-33.46844,1,77.9
HD147873,246.44211,-33.57044,24,597.000795644
GJ3555,140.97012,0.1389,2,20.4831638181
V1460_Aql,295.50916,-10.09229,1,61.5
HD-124882,216.710941,-83.66765,2,217.512597336
GJ3313,71.80161,2.16144,6,50.5683695604
Sgr16,13.33832,-5.49829,3,12.8778880256
GJ46,14.61769,-27.85799,4,34.7857729539
HD-143546,240.809413,-49.23245,2,299.42227706
GJ3344,79.00706,-72.23154,2,22.4539528814
MS_Mus,177.33452,-66.01022,1,65.4
HD13147,31.79472,-47.79876,8,189.128897845
HD143120,240.09882,-45.45508,30,647.045740269
LR_Mus,194.11625,-74.49101,1,85.0
GJ207.1,83.43651,1.94533,1,22.5
NT_Vir,218.9449,2.24404,1,67.1
V760_Cen,213.20155,-59.41875,1,50.0
GJ1135,160.29374,-36.8953,20,182.381769922
V373_Pav,298.11437,-59.16758,1,78.1
V930_Cen,187.65941,-36.24008,1,92.5
AS_Ant,153.92782,-31.47979,1,51.2
HD113904,197.03041,-65.30597,10,715.449173597
V4436_Sgr,304.65508,-38.0904,1,70.8
HD-12932,31.56978,-19.12498,10,190.984240188
HD-38823,87.10945,-0.76066,3,208.231721887
GJ7,2.27256,-27.12472,11,53.1945485929
HD48265,100.01041,-48.54186,40,660.683343214
GJ3321,75.46294,3.76427,12,271.314356421
NV_Aps,223.22145,-71.63208,1,68.1
V1507_Aql,284.97561,-3.24129,5,1.46287388383
HD42538,92.05696,-53.28264,10,323.822682961
SAO_115436,111.52119,7.78687,1,74.3
HD50652,103.10661,-37.85129,27,444.384248146
VY_Cen,172.81006,-51.43993,1,15.8
HD113766,196.65329,-46.03397,2,149.496354471
Io,252.69626,-22.13735,1,266.3
HD-140861,236.861764,-40.19798,2,124.031487938
LL_Vel,165.92915,-51.35312,2,152.394520899
HD190613,301.60068,-14.90885,11,162.93928317
HD-168454,275.25124,-29.82688,3,700.399043403
HD189627,300.41174,-22.11064,11,376.609837896
HD-190056,301.0838,-32.05527,3,593.34923106
SC9-59,78.53056,-69.26296,7,8.08455317256
HD-163652,269.734892,-36.85722,22,565.055988376
V897_Cen,167.5886,-36.09473,1,42.5
HIP110534,335.89633,-57.2207,35,155.636114061
V4199_Sgr,290.40794,-19.23441,2,180.796460142
V4998_Sgr,266.52627,-28.85849,1,0.0
Conn_MRi_RRL_5,70.5122,0.04045,2,6.72681202354
HD-155245,260.38033,-79.0634,4,164.236810734
49-Cnc,131.19089,10.08084,32,918.55022726
HD193690,305.63363,-26.1622,9,172.155017354
SC10-2661,80.34151,-70.54784,10,9.4752308679
V951_Cen,197.80916,-39.00245,1,73.2
V1016_Cen,221.28528,-38.75382,2,88.7244047599
HD-144608,241.856698,-20.87215,4,442.222828447
HD26071,61.50523,-38.99693,9,205.935159698
Conn_MRi_RRL_1,61.67868,-0.37643,2,5.38237865632
V899_Cen,167.86378,-48.852,1,39.3
HD-220009,350.09035,5.37992,3,485.422589091
UY_Crt,171.90167,-13.10643,1,100.3
HD-138905,233.88704,-14.79301,2,432.432387779
WZ_Sex,153.36294,-1.66413,1,90.4
CK_Psc,12.23592,12.87637,1,99.4
NGC3532No596,165.71572,-58.70387,11,184.857620887
V973_Cen,203.41418,-30.63289,1,75.9
Vesta,260.91527,-23.68926,1,126.9
V358_Nor,232.48413,-49.3399,1,78.7
GJ3098,23.10879,-21.90788,1,20.7
HD-185256,294.8366,-29.74045,6,144.181101397
HD197818,311.64378,-17.16208,15,556.698724626
V4198_Sgr,286.78826,-18.74015,1,156.9
DX_Cha,180.02141,-78.18932,4,385.952212068
V2360_Oph,255.08029,-19.1662,1,69.5
HD-148760,247.849869,-26.54075,3,160.573347726
V1085_Sco,264.90819,-36.26056,3,86.571588873
solar_spectrum,165.59601,-26.73236,2,363.431217702
CN_Oct,13.64834,-82.66475,1,78.2
HD_95673,165.14787,-72.98299,2,85.3128946877
HD_62571,116.09398,-6.69593,2,134.2321869
DG_Oct,311.32663,-79.08716,1,26.6
TLS-1,101.40008,-0.71895,47,194.209834972
LM_Vir,198.36356,-18.82669,2,215.655581889
HD-166599,273.925406,-63.05485,2,164.862427496
HD221954,354.18778,-42.36058,67,371.110778609
DM_Boo,207.34742,10.58992,1,112.9
V842_Ara,250.33435,-55.29763,1,81.9
HD-162049,269.854622,-77.81804,5,145.583240794
Sgr76,339.41886,-26.48008,2,10.3310212467
HD-163145,269.200644,-44.34145,2,279.917219906
HD224538,359.71408,-61.58703,25,575.780140331
HD55524,107.90411,-35.6391,8,145.280762663
Gl494,195.19382,12.37313,2,54.7365508595
GJ9212B,96.80798,-25.84659,2,8.15414005276
HD-133631,226.863754,-49.09245,2,171.75668837
V379_Pav,305.39445,-73.47956,1,36.8
V4332_Sgr,282.65652,-21.39343,1,0.0
HD163800,269.73991,-22.51865,4,647.057910855
V1332_Aql,296.04893,-11.32509,1,36.6
HD197921,312.29687,-54.77755,8,101.028609809
CD_Cir,206.6293,-64.67574,1,82.7
NR_Aps,214.73866,-71.39441,1,68.4
GJ218,86.92419,-36.32818,9,89.686342327
HD-157527,261.178786,-21.44335,3,205.748584442
V374_Pav,299.50668,-60.58896,1,93.2
V4440_Sgr,306.38322,-39.32959,1,74.3
HD149189,248.86029,-48.70137,17,350.088831584
HD191033,302.15002,-23.58914,7,157.670257183
HD-160635,266.440481,-64.7234,1,380.7
HD_65667,120.0485,9.85649,1,134.0
eps-For,45.40839,-28.09218,1,269.0
HD220981,352.11445,-37.75693,6,208.749419161
HD206630,326.25631,-52.4627,5,86.5647734358
HD-169836,277.48881,-57.52252,2,163.189276608
HD219011,348.34271,-60.44604,113,444.205616804
V870_Ara,272.09254,-56.76746,1,56.3
GJ330,134.26934,11.64397,1,18.8
V904_Cen,170.14246,-35.9829,1,29.0
HD220894,351.90687,-33.62712,14,195.662183367
HD-161459,267.12504,-51.91606,7,134.626408999
XX_Sex,154.01024,-6.30768,1,100.1
V594_Car,144.35167,-63.812,6,183.757884185
V716_CrA,276.24163,-38.5752,1,95.4
HD216008,342.44104,-37.85298,5,105.970845047
V4418_Sgr,292.21161,-16.51632,1,95.5
V380_Pav,305.94301,-59.34053,1,37.3
KR_Lup,232.61047,-32.30336,1,64.4
V1049_Cen,174.32586,-50.50672,1,32.3
HD18708,44.78427,-40.72265,7,226.292045817
GJ3543,139.08759,-18.62403,89,246.697263868
LU_Vir,201.72366,-5.9312,1,103.6
UU_Crv,181.45486,-23.78132,1,79.9
V372_Nor,246.60243,-56.88437,1,104.2
V598_Car,160.69853,-72.9843,1,44.9
GJ3082,18.64513,-53.94142,43,140.09500348
V1648_Aql,295.28729,2.04175,1,36.8
PY_Vir,197.63114,-4.16002,1,79.7
GJ3440,108.96147,-82.99829,26,56.1892338442
HE1120-0153,170.67497,-2.15967,6,57.7267702197
V2376_Oph,263.56237,-24.87428,1,20.2
SX_Equ,314.8244,8.63778,1,71.1
GJ143.2B,52.3785,-62.9457,11,88.187187278
BX_Psc,4.47057,7.86513,1,147.1
V601_Car,168.10018,-60.37879,28,562.374474883
V365_Pav,286.48972,-60.10955,1,64.6
HD-139521,234.947445,-34.41571,5,443.560153756
BR_Cap,326.68946,-22.48371,1,94.2
V871_Mon,121.57631,-4.44623,1,124.5
V893_Cen,210.11567,-62.78032,1,13.4
CD-39_4725,131.05329,-39.54066,1,87.7
GJ3379,90.01576,2.70734,19,292.836524361
HD-136014,229.8886,-37.10203,2,108.94705136
V649_Mon,99.29685,6.05952,1,43.0
KN_Com,190.50702,14.15491,1,67.5
V962_Cen,198.94957,-42.05595,1,96.0
HD10188,24.76115,-33.46896,9,247.568576358
UX_PsA,324.83403,-30.30251,1,91.1
HD218960,348.21515,-51.68576,9,223.094441885
HD_100880,173.96984,-69.39254,1,86.7
CZ_CMi,109.24326,9.21006,1,52.2
V4393_Sgr,275.83369,-20.65194,1,76.1
HD93849,162.38657,-30.00504,10,332.653979384
V950_Her,261.31453,19.92085,5,491.296590666
V860_Mon,104.58205,-4.63984,111,1713.50063029
IX_Lup,227.27637,-54.9265,1,71.3
V1465_Aql,297.7335,6.82359,1,77.8
CC_Cru,193.44794,-60.33177,1,111.8
Vesta,235.89915,-12.83242,1,170.3
V4423_Sgr,297.14194,-16.16242,1,86.9
V4410_Sgr,286.90469,-31.66954,1,66.5
HD-166063,272.810214,-45.95366,2,302.079608713
OP_Ser,228.26695,9.57811,1,40.3
solar_spectrum,167.13842,-77.36961,25,299.992383237
S_Ant,143.07858,-28.62775,1,220.9
V1483_Aql,306.94257,-5.65308,1,124.3
V985_Cen,208.42252,-44.83244,1,98.4
GJ206,83.05849,9.81684,1,19.1
HD178340,287.24071,-17.5369,19,463.554408889
VW_PsA,331.1792,-35.69354,1,14.8
GJ3103,24.62619,0.65198,7,49.1764171123
GJ1036,19.31554,-35.71617,1,20.9
HD-139980,235.665689,-37.42889,2,222.27784415
HD-156854,260.781887,-56.52505,3,202.93218079
V4413_Sgr,290.15744,-28.00158,1,84.2
HD174153,282.83442,-44.47536,6,146.896392059
V383_Pav,308.00506,-60.04291,1,61.2
UY_PsA,325.23318,-34.52117,1,90.5
V868_Mon,114.77185,-2.65072,1,120.7
HD200869,316.74044,-28.44713,9,185.279950345
V941_Cen,192.47505,-34.30871,1,64.8
solar_spectrum,105.00015,-56.00002,1,11.3
CH_Phe,354.55391,-56.45039,1,32.3
GJ3367,86.82809,-0.01247,4,33.8020709425
V911_Cen,174.04007,-61.69476,2,129.530922949
HD-165135,271.454787,-30.42319,3,722.236104055
V374_Nor,246.70939,-48.04408,1,145.9
V1435_Aql,283.37142,9.65532,1,80.0
FF_Boo,227.63451,11.67379,1,32.1
V366_Pav,288.31665,-73.31164,1,72.3
V995_Cen,212.71644,-39.18626,1,59.4
Pallas,332.29792,-1.57533,1,178.0
solar_spectrum,85.00013,-29.0,2,783.205120004
NGC2477No3206,118.23263,-38.5528,168,217.656495423
HD189631,300.66771,-41.41909,323,2176.75041748
SX_Phe,356.64205,-41.5837,91,1637.74277284
GJ3293,67.15138,-25.16809,209,179.898026671
HD50870,103.73994,-3.3388,325,2842.28544309
SW2312-2240,348.15946,-22.67238,54,103.950084175
GJ3885,225.33764,5.54803,12,38.3494458891
HD188512,298.82749,6.40721,37,1140.83483905
GJ3279,65.55413,-57.43511,10,49.2133112074
HD-47536,99.455605,-32.34261,2,86.3993634236
HD35929,81.93126,-8.32665,27,665.044780447
IM-Lup,239.04113,-37.93424,5,50.08063498
GJ1203,248.18796,12.61237,6,26.9788806291
GJ179,73.02521,6.47788,22,62.6548481763
HD-319896,262.77749,-35.14204,1,24.9
V1247-Ori,84.52585,-1.25814,38,600.576065124
IRa01_E2_3425,101.75027,-2.56837,10,20.0451989264
HD147787,246.9885,-64.05622,249,3811.67947629
GJ3563,145.65032,-19.23368,11,50.9915679304
GJ3915,237.01652,-58.18623,20,67.1068550895
PDS-2,19.43308,-52.55944,28,318.984451032
WASP-9,309.24545,-19.14645,63,248.868057412
GJ3527,135.29563,1.94457,1,6.5
GJ431,172.94439,-41.0438,4,20.9119583014
WASP-7,311.04309,-39.22483,21,249.46747283
HD139664,235.2996,-44.66202,8,771.239204138
GJ3470,119.77606,15.39027,90,84.0666402326
GJ4092,284.91197,7.98764,13,91.6776963061
GJ620,245.78257,-24.709,23,156.33998209
SMC130.5-4293,8.45635,-73.0709,12,7.98122797569
HD31225,73.304,-20.77003,42,728.882665454
SW2309+1823,347.49419,18.39669,62,175.056819347
HD38459,85.86429,-47.82085,31,474.393518084
GJ800A,310.74179,-18.92,30,139.601468474
HD-97344,167.996068,-26.8086,1,77.8
GJ863,338.26459,9.38015,5,71.534327424
HD42936,91.62027,-72.51272,16,274.863547965
GJ4036,269.28053,-41.97404,4,332.477833848
LRc02_E1_0136,280.3259,6.532,45,81.9834129565
GJ3804,206.46259,-17.96702,18,62.2650784951
GJ3135,31.455,-30.17435,159,123.013251319
GJ724,280.24061,-13.38115,27,135.295047951
WASP-18,24.35593,-45.67841,23,229.430643115
GJ4079,282.61267,-62.04984,15,90.241453889
SW0020-2356,5.16286,-23.93419,63,249.7578227
GJ3796,204.72636,-2.26203,8,40.1492216612
HD-154708,257.62147,-58.00442,11,304.958767705
SW2359-3501,359.90253,-35.03117,101,387.170647131
GJ3969,250.44314,-5.8214,35,70.3613530285
HD128621,219.88362,-60.83402,12,1840.57896598
GJ4206,324.48943,-63.71045,29,130.902100823
WASP-5,359.34996,-41.2764,45,137.246712165
SRc01_E1_2291,286.06636,2.7889,16,11.874342087
HD-88351,151.04114,-81.56407,1,68.8
GJ3707,182.5247,-15.07107,9,37.4030747399
HD-115439,199.846476,-72.03367,1,70.7
